Kabupaten/Kota,Indeks Jumlah Pergerakan_2017,Indeks Jumlah Pergerakan_2018,Indeks Jumlah Pergerakan_2019,Indeks Jumlah Pergerakan_2020,Indeks Jumlah Pergerakan_2021,Indeks Jumlah Pergerakan_2022,Indeks Jumlah Pergerakan_2023,Indeks Intensitas Pergerakan_2017,Indeks Intensitas Pergerakan_2018,Indeks Intensitas Pergerakan_2019,Indeks Intensitas Pergerakan_2020,Indeks Intensitas Pergerakan_2021,Indeks Intensitas Pergerakan_2022,Indeks Intensitas Pergerakan_2023,Pertumbuhan Ekonomi_2017,Pertumbuhan Ekonomi_2018,Pertumbuhan Ekonomi_2019,Pertumbuhan Ekonomi_2020,Pertumbuhan Ekonomi_2021,Pertumbuhan Ekonomi_2022,Pertumbuhan Ekonomi_2023,Pengeluaran Perkapita Sebulan Kelompok Makanan_2017,Pengeluaran Perkapita Sebulan Kelompok Makanan_2018,Pengeluaran Perkapita Sebulan Kelompok Makanan_2019,Pengeluaran Perkapita Sebulan Kelompok Makanan_2020,Pengeluaran Perkapita Sebulan Kelompok Makanan_2021,Pengeluaran Perkapita Sebulan Kelompok Makanan_2022,Pengeluaran Perkapita Sebulan Kelompok Makanan_2023,Jumlah Penduduk_2017,Jumlah Penduduk_2018,Jumlah Penduduk_2019,Jumlah Penduduk_2020,Jumlah Penduduk_2021,Jumlah Penduduk_2022,Jumlah Penduduk_2023,Aktivitas Masyarakat_2017,Aktivitas Masyarakat_2018,Aktivitas Masyarakat_2019,Aktivitas Masyarakat_2020,Aktivitas Masyarakat_2021,Aktivitas Masyarakat_2022,Aktivitas Masyarakat_2023,Tingkat Kekeringan Lahan_2017,Tingkat Kekeringan Lahan_2018,Tingkat Kekeringan Lahan_2019,Tingkat Kekeringan Lahan_2020,Tingkat Kekeringan Lahan_2021,Tingkat Kekeringan Lahan_2022,Tingkat Kekeringan Lahan_2023,Tingkat Kesuburan Lahan_2017,Tingkat Kesuburan Lahan_2018,Tingkat Kesuburan Lahan_2019,Tingkat Kesuburan Lahan_2020,Tingkat Kesuburan Lahan_2021,Tingkat Kesuburan Lahan_2022,Tingkat Kesuburan Lahan_2023,Luas Panen_2017,Luas Panen_2018,Luas Panen_2019,Luas Panen_2020,Luas Panen_2021,Luas Panen_2022,Luas Panen_2023,PDRB Pertanian_2017,PDRB Pertanian_2018,PDRB Pertanian_2019,PDRB Pertanian_2020,PDRB Pertanian_2021,PDRB Pertanian_2022,PDRB Pertanian_2023
Kabupaten Bangkalan,  58.70 ,  68.30 ,  70.50 ,  62.30 ,  71.30 ,  82.70 ,  102.30 ,1.78,2.07,2.14,1.89,2.16,2.51,3.1,3.53,4.22,1.03,-5.59,-2.07,-1.12,1.2,396492,397818,418907,480793,448548,504885,506043,970894,978892,986672,1060377,1071712,1086620,1101556,8460.500009,10566.6,11185.9,10781.9,12515.7,14157.29999,18218.09999,1.06601622,-0.4114250007,-1.07666145,0.9253572042,0.6449600358,1.243900531,-0.5150464971,0.3679146214,0.3107418957,0.3135436713,0.3681814368,0.3710494409,0.3931800383,0.3386495895,38011.81,40957.0,39854.0,44048.0,42110.0,40717.81,38011.82,5456977.52,5728220.37,5815872.12,5975615.91,5961278.5,6538395.18,6496284.77
Kabupaten Banyuwangi,  126.70 ,  137.30 ,  163.20 ,  197.00 ,  250.50 ,  301.10 ,  339.70 ,2.82,3.05,3.63,4.38,5.57,6.69,7.55,5.45,5.84,5.55,-3.58,4.09,4.43,5.03,432350,489736,481560,499811,550555,567865,642992,1604897,1609677,1613991,1708114,1718462,1731731,1744814,21395.30003,26522.59998,31849.5,38973.60001,49403.69993,54509.20001,54414.20008,0.8192713531,-0.3145211747,-1.575748979,0.6054610026,1.320209951,1.382372228,-0.5975665947,0.3780327467,0.3744735348,0.3670091422,0.3949323574,0.3787291275,0.3865843623,0.3668348004,75062.47,84361.0,81553.0,83993.0,89125.0,76748.03,75062.48,15607.16,15493.02,15406.89,14950.32,15205.35,15112.57,14916.63
Kabupaten Blitar,  52.20 ,  58.10 ,  63.90 ,  64.30 ,  71.50 ,  80.50 ,  101.30 ,1.45,1.61,1.77,1.79,1.99,2.24,2.81,5.07,5.1,5.12,-2.29,3.02,5.2,4.45,402633,404063,419278,418784,473966,479054,518580,1153803,1157500,1160677,1223745,1231013,1240322,1249497,6848.700005,7967.200004,8182.900001,7964.999998,9422.100001,11311.5,14434.0,0.9017758493,-0.4692122602,-1.033764149,0.8517376314,1.098871719,1.342389108,-0.1533449695,0.3903268388,0.3919781851,0.3864912153,0.4089499532,0.3978876464,0.4058963148,0.3811872238,36340.16,37102.0,36194.0,34795.0,38641.0,34137.74,36340.17,7171009.0,7253241.97,7371064.88,7375203.18,7376261.61,7439189.8,7564065.77
Kabupaten Bojonegoro,  99.40 ,  103.60 ,  109.70 ,  113.60 ,  130.90 ,  152.80 ,  198.90 ,1.84,1.92,2.03,2.1,2.42,2.83,3.68,10.25,4.39,6.34,-0.4,-5.54,-6.16,2.47,454781,469900,450082,473456,488003,518922,591449,1243906,1246927,1249692,1301635,1307602,1315125,1322474,17057.90002,13147.70001,14274.69999,13252.80001,15004.1,19370.4,26425.30003,0.6841200415,-0.7851513935,-0.8886365988,0.6923762783,0.8794349623,1.504584205,-0.3321325479,0.3447061407,0.3047361296,0.2964849001,0.3455595383,0.3359876669,0.356500421,0.3163141232,132712.01,134770.0,128864.0,135635.0,134609.0,133665.5,132712.02,6013.81,5953.73,5966.56,6005.31,5932.64,6097.92,6321.94
Kabupaten Bondowoso,  59.40 ,  64.70 ,  62.80 ,  64.30 ,  65.60 ,  72.80 ,  83.10 ,2.58,2.81,2.73,2.8,2.85,3.17,3.61,5.03,5.08,5.3,-1.36,3.49,3.51,4.62,372145,376919,420934,440710,477034,482787,554571,768912,772297,775715,776151,778525,781417,784192,3446.000006,3936.900005,3844.600002,3760.000005,4384.900009,5468.299999,6952.600002,0.896865988,-0.1274073167,-1.33254025,0.667684083,1.617943428,1.33254025,-0.4571769783,0.3994464837,0.3806227127,0.3859148745,0.4076996058,0.4110376984,0.4135409471,0.3861694997,50364.97,49799.0,53459.0,54210.0,51621.0,48240.7,50364.98,3623732.59,3635763.5,3679864.49,3729456.46,3818351.88,3756873.23,3834430.0
Kabupaten Gresik,  268.60 ,  298.80 ,  314.90 ,  321.80 ,  334.40 ,  344.80 ,  381.90 ,5.17,5.75,6.06,6.19,6.43,6.63,7.34,5.83,5.81,5.42,-3.68,3.79,7.38,4.62,622010,673892,607933,604969,707931,707602,859823,1285018,1299024,1312881,1311215,1320570,1332664,1344648,19973.39998,21950.40002,23022.90001,23304.89997,24261.80001,25934.59999,29162.2,0.9795804901,-0.2325269678,-0.9241747093,0.9244732552,0.6877147167,1.22577193,-0.5368175622,0.2926905753,0.2374155357,0.2515579673,0.2818777446,0.2666954024,0.3051876038,0.26060119,66202.6,57722.0,61643.0,67011.0,61394.0,63287.2,66202.61,6174857.73,6030047.77,6053854.96,6004076.07,5823540.92,6007942.89,6200212.89
Kabupaten Jember,  208.40 ,  226.60 ,  239.80 ,  230.80 ,  226.40 ,  251.00 ,  281.90 ,4.43,4.82,5.1,4.91,4.82,5.34,6.0,5.11,5.02,5.51,-2.98,4.0,4.53,4.93,351840,430807,440697,482798,497731,517007,569040,2430185,2440714,2450668,2536729,2550360,2567718,2584771,15989.9,18339.2,19034.00001,18626.3,19663.00001,22871.3,26917.5,0.8403791233,-0.1043456913,-1.514437101,0.6718812074,1.241801534,1.349710757,-0.650975549,0.3949943359,0.3896797727,0.3873893619,0.3995615878,0.3906532653,0.3937934178,0.376432922,120187.86,125136.0,123591.0,121606.0,124028.0,118489.25,120187.87,13841698.0,13845120.0,14046579.0,13895894.0,13881229.0,14318852.0,14672743.0
Kabupaten Jombang,  131.90 ,  145.40 ,  157.90 ,  158.30 ,  167.00 ,  183.90 ,  212.40 ,2.75,3.03,3.29,3.3,3.48,3.83,4.43,5.36,5.29,5.1,-1.98,3.24,5.37,5.04,455867,487552,495624,506896,550236,597518,593500,1253078,1258618,1263814,1318062,1325914,1335972,1345886,9688.600006,11053.3,11884.00001,11630.6,12653.19999,14656.19999,17303.8,1.01152553,-0.3882392731,-0.687106267,0.6990035198,0.9456528812,1.243900531,-0.2441081944,0.3582516181,0.3461750463,0.3378535969,0.3570939271,0.3436356308,0.3531718438,0.3322656839,56762.7,63301.0,56138.0,55793.0,54968.0,54896.68,56762.71,4430051.0,4506759.0,4524237.6,4509028.1,4486220.3,4506923.3,4641174.9
Kabupaten Kediri,  36.90 ,  39.10 ,  39.40 ,  40.80 ,  47.80 ,  53.60 ,  66.40 ,1.94,2.06,2.07,2.15,2.52,2.82,3.49,4.9,5.07,5.06,-2.41,3.06,4.9,4.53,408383,447997,435186,457247,492551,581309,577205,1561392,1568113,1574272,1635294,1644400,1656020,1667450,8941.900005,10234.69999,10639.3,10819.49999,13041.39999,15046.49998,19023.0,0.9552990252,-0.4239463773,-0.4786312433,0.8319928427,1.114986031,1.336256802,-0.1942452512,0.3911668829,0.3870723625,0.3843886196,0.4080099091,0.3960919669,0.402869053,0.3802646055,31268.32,37009.0,39449.0,36364.0,35113.0,29379.86,31268.33,6025860.18,6028523.92,6053728.53,6079415.94,6130617.84,6131980.92,6317795.44
Kabupaten Lamongan,  127.20 ,  144.80 ,  152.70 ,  153.70 ,  172.40 ,  191.70 ,  219.50 ,1.65,1.88,1.98,2.0,2.24,2.49,2.85,5.5,5.44,5.43,-2.65,3.43,5.56,4.28,520196,530316,480093,535671,586065,660748,738608,1188478,1188913,1189106,1344165,1356027,1371509,1386941,10337.20001,12011.80001,12538.6,12036.00001,13288.50001,15917.5,18580.8,0.8251741467,-0.3788785356,-1.088502983,0.8572047905,0.6627730306,1.248965658,-0.6146855877,0.3023927001,0.2626496056,0.2642270645,0.2942042039,0.2811637534,0.3126838001,0.2723266606,139704.8,144782.0,140464.0,148031.0,138450.0,150903.4,139704.81,8712129.4,8509016.3,8519446.9,8505395.7,8388773.3,8719326.9,8599857.1
Kabupaten Lumajang,  43.70 ,  47.90 ,  50.30 ,  46.90 ,  55.70 ,  65.00 ,  80.50 ,0.99,1.09,1.14,1.07,1.27,1.48,1.83,5.05,5.0,4.61,-2.79,3.14,4.43,5.0,365184,427729,435916,433284,571290,627260,718784,1036823,1039794,1042395,1119251,1127094,1137227,1147261,5098.500011,5769.800013,5884.700014,5299.40001,6337.100009,8010.800014,9825.300007,0.7538767116,-0.1585931168,-1.421179969,0.7904133234,1.119590121,1.347506683,-0.846410502,0.3902637822,0.3857890587,0.380292561,0.4025338245,0.3914442786,0.3918105676,0.3701352585,55128.78,56617.0,53466.0,53781.0,56671.0,55042.5,55128.79,7262153.34,7220049.03,7269200.12,7250662.7,7278508.3,7235119.28,7414106.96
Kabupaten Madiun,  36.70 ,  56.20 ,  62.80 ,  58.70 ,  61.10 ,  70.90 ,  99.10 ,1.22,1.87,2.09,1.96,2.04,2.36,3.3,5.42,5.1,5.42,-0.12,3.32,4.32,5.12,422919,478249,442626,448200,448641,488619,528863,679888,681394,682684,744350,750143,757665,765135,4268.60001,5489.800003,5595.8,5334.599999,6069.399998,7554.900005,10968.3,0.8651377654,-0.6144791484,-0.6030101546,0.8845018454,1.125240594,1.572840557,0.01659498408,0.3576633824,0.3420612589,0.342326301,0.3696997186,0.3589605684,0.359325568,0.3401801288,74784.94,69133.0,68015.0,73000.0,75713.0,73061.53,74784.95,3492699.27,3413896.41,3489565.93,3529158.6,3586512.7,3441314.6,3559143.8
Kabupaten Magetan,  46.70 ,  63.30 ,  67.30 ,  65.70 ,  66.00 ,  77.90 ,  98.60 ,1.67,2.26,2.4,2.35,2.36,2.78,3.52,5.09,5.21,5.04,-1.64,3.04,3.89,4.47,448957,444882,453149,461372,488179,549483,564058,628609,628924,628977,670812,674133,678343,682466,3453.800005,4218.800003,4356.599999,4374.6,4696.099996,5759.099999,7639.399998,0.8663094452,-0.7088212124,-0.6452857712,0.9420374005,1.181745326,1.421179969,-0.03644681873,0.3799469146,0.3514734922,0.3566392137,0.3893093149,0.3689719278,0.3935321108,0.3652998974,44424.01,45514.0,42232.0,46822.0,48488.0,43965.49,44424.0,3511148.62,3501309.34,3517329.45,3602281.78,3598978.85,3581050.84,3561687.21
Kabupaten Malang,  250.10 ,  276.30 ,  342.40 ,  373.20 ,  375.20 ,  393.70 ,  458.20 ,3.13,3.45,4.28,4.67,4.69,4.92,5.73,5.43,5.55,5.49,-2.68,3.12,5.13,5.0,480986,466529,465681,450081,489610,505172,618371,2576596,2591795,2606204,2654448,2668296,2685900,2703175,17246.90002,19640.50002,20450.20001,20325.90001,22445.9,25218.90001,31709.9,0.619990734,-0.7563701359,-1.378202098,0.7294612288,1.098871719,1.38026933,-0.5567971301,0.3924999839,0.3767099262,0.3700822737,0.4072758513,0.4008703096,0.4058453197,0.3649740783,43918.58,50374.0,48398.0,46121.0,45344.0,45901.91,43918.59,9994064.97,9799582.33,9884735.01,9809914.36,9728578.98,10058588.4,10323454.58
Kabupaten Mojokerto,  215.50 ,  245.90 ,  305.10 ,  319.50 ,  285.70 ,  327.30 ,  351.80 ,7.18,8.2,10.17,10.65,9.52,10.91,11.73,5.73,5.88,5.81,-1.11,4.12,5.82,5.15,554404,545031,586121,608467,638191,675297,739483,1099504,1108718,1117688,1119209,1125522,1133584,1141516,15344.7,19311.60002,25068.6,25680.10001,23194.89999,25867.6,28718.99998,1.046283358,-0.2462625032,-0.8156237408,0.82436494,0.9804107264,1.23483623,-0.2827197595,0.3595050883,0.3335901078,0.3390850318,0.3626831943,0.351068716,0.3785791856,0.3310121002,53462.14,52446.0,54993.0,54505.0,51258.0,49395.45,53462.15,3878249.99,3829547.9,3861929.48,3884603.71,3924568.4,3978807.57,4152327.2
Kabupaten Nganjuk,  79.80 ,  89.80 ,  114.40 ,  110.10 ,  122.60 ,  143.10 ,  169.60 ,1.86,2.09,2.66,2.56,2.85,3.33,3.94,5.26,5.38,5.36,-1.71,3.61,4.84,5.4,421446,416171,440251,470127,519726,525825,581282,1048799,1051900,1054611,1103902,1109683,1117033,1124247,5433.400005,6438.900001,6538.799999,6318.599999,7720.299996,9580.200001,12389.00001,0.9567272002,-0.2730042763,-0.5556565593,0.8112425454,1.217874796,1.494960639,0.01943146406,0.3343324732,0.3413140195,0.3389187177,0.3586393322,0.3358656607,0.3537596586,0.3321593121,72039.48,65539.0,65066.0,71155.0,72440.0,70331.77,72039.49,4885817.99,4861809.05,4954056.36,5031962.78,5115750.57,5090055.11,5326242.08
Kabupaten Ngawi,  60.10 ,  78.60 ,  82.60 ,  77.90 ,  85.90 ,  99.80 ,  115.20 ,1.34,1.75,1.84,1.73,1.91,2.22,2.56,5.07,5.21,5.05,-1.69,2.55,3.19,4.49,387264,386079,422465,430665,459742,456207,535190,829899,830090,830108,870057,873346,877432,881393,5552.600014,6901.40001,7047.800003,6696.200011,7526.200003,9470.500005,11660.09998,0.7300670086,-0.726058612,-0.7386696816,0.8792969445,1.207643328,1.436075205,-0.2477620902,0.3660549407,0.3481890647,0.3483870822,0.3698553155,0.3658350875,0.3635180236,0.3499235767,124922.91,121761.0,122501.0,125908.0,128738.0,128585.79,124922.92,3945033.05,4039868.86,4117317.32,4156112.49,4138055.43,4061335.47,4144759.44
