Kabupaten/Kota,Indeks Jumlah Pergerakan_2017,Indeks Jumlah Pergerakan_2018,Indeks Jumlah Pergerakan_2019,Indeks Jumlah Pergerakan_2020,Indeks Jumlah Pergerakan_2021,Indeks Jumlah Pergerakan_2022,Indeks Jumlah Pergerakan_2023,Indeks Intensitas Pergerakan_2017,Indeks Intensitas Pergerakan_2018,Indeks Intensitas Pergerakan_2019,Indeks Intensitas Pergerakan_2020,Indeks Intensitas Pergerakan_2021,Indeks Intensitas Pergerakan_2022,Indeks Intensitas Pergerakan_2023,Pertumbuhan Ekonomi_2017,Pertumbuhan Ekonomi_2018,Pertumbuhan Ekonomi_2019,Pertumbuhan Ekonomi_2020,Pertumbuhan Ekonomi_2021,Pertumbuhan Ekonomi_2022,Pertumbuhan Ekonomi_2023,Pengeluaran Perkapita Sebulan Kelompok Makanan_2017,Pengeluaran Perkapita Sebulan Kelompok Makanan_2018,Pengeluaran Perkapita Sebulan Kelompok Makanan_2019,Pengeluaran Perkapita Sebulan Kelompok Makanan_2020,Pengeluaran Perkapita Sebulan Kelompok Makanan_2021,Pengeluaran Perkapita Sebulan Kelompok Makanan_2022,Pengeluaran Perkapita Sebulan Kelompok Makanan_2023,Jumlah Penduduk_2017,Jumlah Penduduk_2018,Jumlah Penduduk_2019,Jumlah Penduduk_2020,Jumlah Penduduk_2021,Jumlah Penduduk_2022,Jumlah Penduduk_2023,Aktivitas Masyarakat_2017,Aktivitas Masyarakat_2018,Aktivitas Masyarakat_2019,Aktivitas Masyarakat_2020,Aktivitas Masyarakat_2021,Aktivitas Masyarakat_2022,Aktivitas Masyarakat_2023,Tingkat Kekeringan Lahan_2017,Tingkat Kekeringan Lahan_2018,Tingkat Kekeringan Lahan_2019,Tingkat Kekeringan Lahan_2020,Tingkat Kekeringan Lahan_2021,Tingkat Kekeringan Lahan_2022,Tingkat Kekeringan Lahan_2023,Tingkat Kesuburan Lahan_2017,Tingkat Kesuburan Lahan_2018,Tingkat Kesuburan Lahan_2019,Tingkat Kesuburan Lahan_2020,Tingkat Kesuburan Lahan_2021,Tingkat Kesuburan Lahan_2022,Tingkat Kesuburan Lahan_2023,Luas Panen_2017,Luas Panen_2018,Luas Panen_2019,Luas Panen_2020,Luas Panen_2021,Luas Panen_2022,Luas Panen_2023,PDRB Pertanian_2017,PDRB Pertanian_2018,PDRB Pertanian_2019,PDRB Pertanian_2020,PDRB Pertanian_2021,PDRB Pertanian_2022,PDRB Pertanian_2023
Kabupaten Pacitan,  11.10 ,  16.40 ,  16.20 ,  10.10 ,  13.00 ,  23.30 ,  36.10 ,0.33,0.48,0.48,0.3,0.38,0.69,1.06,4.98,5.47,5.08,-1.84,2.49,5.54,4.46,406358,422021,418055,416124,385890,428206,486370,553388,554394,555304,586110,589108,592916,596649,1641.100007,2378.500008,2302.80001,1677.500007,2374.000009,3887.600015,6221.800025,0.7608604199,-0.9181664759,-0.7608604199,0.9181664759,1.036368509,1.421179969,-0.1098013339,0.4188016531,0.3724086863,0.3670997847,0.4178376545,0.4300454204,0.4437470923,0.3964361513,17923.39,19312.0,20504.0,19292.0,18894.0,17831.47,17923.4,2595676.13,2641502.01,2639072.29,2739302.52,2700669.7,2820635.41,2827383.94
Kabupaten Pamekasan,  90.40 ,  105.20 ,  111.10 ,  116.80 ,  125.50 ,  136.00 ,  158.40 ,3.62,4.21,4.44,4.67,5.02,5.44,6.34,5.04,5.46,4.92,-2.54,3.41,4.66,4.96,377797,371599,406615,417229,393798,447395,502460,863004,871497,879992,850057,853507,857818,862009,7899.700001,9534.599992,10544.79999,10857.7,12714.3,13521.69998,16386.19997,1.715685203,0.1835428461,-1.098871719,0.9367327506,0.8342992868,1.469714713,-0.208969941,0.3499440239,0.2888061549,0.2917929457,0.3504955724,0.3421562433,0.3724747595,0.3239886706,19884.35,21978.0,20169.0,20170.0,18926.0,20497.42,19884.36,3137578.46,3187663.51,3191740.94,3214646.42,3262761.29,3367646.1,3457919.6
Kabupaten Pasuruan,  315.40 ,  327.70 ,  409.00 ,  406.40 ,  389.30 ,  417.30 ,  452.90 ,5.17,5.37,6.7,6.66,6.38,6.84,7.42,5.72,5.73,5.83,-2.03,4.34,5.32,5.21,495810,519175,515088,529155,548666,574005,608993,1605307,1616578,1627396,1605969,1611805,1619035,1626029,13939.5,15755.2,16978.3,16716.20001,18100.6,19512.8,22833.0,0.9273432955,-0.3099444473,-1.051317556,0.949110267,1.114986031,1.227786219,-0.7815961885,0.3563827824,0.3458446374,0.3428847135,0.3690057819,0.3673435843,0.3802365107,0.3506579964,48999.13,52562.0,53789.0,53127.0,50306.0,47384.82,48999.14,5906977.5,5822119.9,5865967.8,5929355.9,5782666.1,5806218.8,5890840.5
Kabupaten Ponorogo,  56.20 ,  66.60 ,  71.10 ,  65.80 ,  72.70 ,  84.40 ,  106.90 ,1.12,1.33,1.42,1.32,1.45,1.69,2.14,5.1,5.27,5.01,-0.9,3.19,3.24,5.14,388689,403727,415478,458674,450920,491340,557950,869894,870705,871370,949318,955839,964253,972582,4724.700005,5756.700007,5941.200004,5402.200004,6214.600003,7939.800009,10436.4,0.8356537792,-0.6724534065,-0.6037562926,0.9515857703,1.098871719,1.492677103,0.02187154381,0.3642619397,0.3523997151,0.3465160898,0.3740671144,0.372843602,0.3814697101,0.3583736959,66594.54,63444.0,58080.0,65073.0,68741.0,62964.37,66594.55,3381490.1,3412826.2,3407132.8,3492745.5,3556895.1,3416838.4,3514110.77
Kabupaten Probolinggo,  58.60 ,  63.60 ,  83.90 ,  79.80 ,  90.10 ,  97.10 ,  109.30 ,1.78,1.93,2.54,2.42,2.73,2.94,3.31,4.46,4.47,4.56,-2.12,3.35,4.52,4.73,345817,410384,398276,479768,452522,474669,518809,1155214,1162092,1168503,1152537,1155894,1159965,1163859,8123.000013,9044.700004,9340.800003,8847.399994,10116.59999,11834.40001,14272.70001,0.9241200432,-0.03030676221,-0.906883162,0.8559007443,1.287860656,1.204347219,-0.5556542417,0.3526701177,0.3389395044,0.3413946036,0.3746945781,0.366321623,0.3810888896,0.3439682325,35121.68,38415.0,39464.0,36926.0,37043.0,33503.12,35121.69,7350285.3,7200135.6,7278299.9,7280047.6,7355141.8,7510657.2,7760627.6
Kabupaten Sampang,  57.40 ,  67.00 ,  72.50 ,  79.50 ,  95.80 ,  105.50 ,  128.80 ,2.05,2.39,2.59,2.84,3.42,3.77,4.6,4.69,4.11,1.85,-0.29,0.22,2.31,2.56,396834,433465,404262,420135,415493,444960,456234,958082,968520,978875,969694,976020,984162,992210,7645.60001,9759.199994,10762.99999,10892.5,13383.09999,14986.59998,19613.29999,1.083245917,-0.4974230537,-0.9560695802,0.8738167848,0.5912819505,1.243900531,-0.08490204968,0.3675876534,0.2834757876,0.2928912931,0.3479256136,0.3553323903,0.389025042,0.3329518428,34795.53,37724.0,33052.0,37792.0,38152.0,34880.84,34795.54,3955111.97,3945125.43,3900517.25,4057720.52,4012241.81,4171301.66,4108451.25
Kabupaten Sidoarjo,  593.50 ,  593.00 ,  639.00 ,  643.80 ,  656.80 ,  702.40 ,  743.00 ,16.04,16.03,17.27,17.4,17.75,18.98,20.08,5.8,6.01,5.99,-3.69,4.21,7.53,6.16,618670,681759,683507,687465,753080,759941,824954,2183682,2216804,2249476,2082801,2091930,2103401,2114588,30459.99998,31318.69996,33479.40001,32748.6,33482.49996,36106.00002,39120.20004,1.125310804,-0.3635069875,-0.7382059495,0.8334370143,0.9936674699,1.181745326,-0.121460883,0.3003627091,0.2933182567,0.2875512204,0.3013045985,0.2877842259,0.3005092942,0.2811128639,31030.45,37277.0,34287.0,34321.0,32586.0,31368.74,31030.46,2654505.09,2551739.61,2558272.35,2628503.11,2626369.74,2686059.3,2730833.35
Kabupaten Situbondo,  47.80 ,  54.00 ,  56.00 ,  57.40 ,  66.30 ,  80.30 ,  87.40 ,1.65,1.86,1.93,1.98,2.29,2.77,3.01,5.07,5.46,5.44,-2.33,3.26,4.39,4.9,337261,437117,469511,432954,492349,496305,548337,676703,679993,682978,685967,688337,691260,694081,4058.200002,4793.900006,4926.500005,4891.500003,5912.200003,7596.900001,9412.399998,0.8360572263,-0.2706267664,-1.168494498,0.7951225985,1.446923717,1.53145652,-0.6313412466,0.3927785119,0.3819959188,0.3781011181,0.3950406162,0.395641294,0.4007046213,0.3770476485,27917.31,31623.0,30226.0,30529.0,30388.0,26784.22,27917.32,3753205.8,3767505.28,3826563.17,3746676.56,3810013.31,3823090.37,3977063.64
Kabupaten Sumenep,  48.20 ,  61.20 ,  70.00 ,  74.20 ,  90.00 ,  97.60 ,  119.90 ,1.24,1.57,1.79,1.9,2.31,2.5,3.07,2.86,3.63,0.14,-1.13,2.61,3.11,5.35,536140,520082,592227,550379,674636,1000170,1052321,1081204,1085227,1088910,1124436,1129822,1136632,1143295,5017.600007,6385.200006,6772.000006,6914.700006,8787.700004,9751.900005,12168.99999,1.401482254,0.1261009991,-1.136859792,0.9738652999,0.7737749392,1.930749176,-0.08728166592,0.3613130258,0.3083294257,0.3185624955,0.3747722165,0.3584650997,0.3918746633,0.3464722543,42432.96,46193.0,38412.0,42754.0,40299.0,41835.41,42432.97,7681993.8,7859048.3,7758094.6,7818687.4,7980607.4,8273578.6,8233654.43
Kabupaten Trenggalek,  40.30 ,  44.60 ,  44.60 ,  39.70 ,  48.20 ,  61.20 ,  76.20 ,1.01,1.12,1.12,0.99,1.2,1.53,1.91,5.02,5.03,5.08,-2.17,3.65,4.52,4.92,359249,384102,406233,423843,418705,459764,499323,693104,694902,696295,731125,734888,739669,744358,2785.900009,3247.000013,3389.700014,2573.300006,3555.400009,4987.00001,6658.300007,0.7151116324,-0.6788385496,-1.129774232,0.9181664759,1.135128922,1.421179969,0.01826656649,0.383700109,0.3829383628,0.3739514259,0.4051756998,0.3945656903,0.3976226609,0.3741070333,22049.35,22733.0,20475.0,19631.0,22492.0,22026.97,22049.36,3067313.0,3024719.0,3039097.0,3042011.0,2975958.0,2975958.0,3056779.0
Kabupaten Tuban,  167.10 ,  168.60 ,  174.20 ,  172.40 ,  163.70 ,  199.00 ,  212.70 ,3.89,3.92,4.05,4.01,3.81,4.63,4.95,4.98,5.15,5.14,-5.85,3.0,8.88,4.36,461456,471661,477950,470367,521109,658689,682590,1163614,1168277,1172790,1198012,1203127,1209543,1215795,13664.00005,15356.1,15748.40002,14069.90001,15527.4,20471.10006,21644.2,0.6488797933,-0.4462163835,-0.9180232156,0.9014347597,0.8026434508,1.442535841,-0.6329506495,0.3337557052,0.30203095,0.301444568,0.3414859544,0.3260356725,0.3574763098,0.3079841889,84115.62,95855.0,91200.0,92342.0,88050.0,85288.02,84115.63,7315399.0,7304031.0,7398433.0,7295391.0,7395218.0,7535059.0,7590549.0
Kabupaten Tulungagung,  87.50 ,  91.60 ,  93.40 ,  93.80 ,  112.30 ,  127.40 ,  140.60 ,2.43,2.54,2.59,2.61,3.12,3.54,3.91,5.08,5.21,5.32,-3.09,3.53,5.22,4.91,404942,442534,447335,504173,545930,670291,593856,1030790,1035290,1039284,1089775,1096588,1105337,1113973,7237.100001,7739.300008,7747.700003,7339.700006,8871.1,10418.2,12296.7,0.811664036,-0.1112946971,-0.5627149525,0.9738652999,1.157288852,1.318442977,0.1933110725,0.3574688644,0.3626617367,0.3617826761,0.376001038,0.3646434147,0.3565704591,0.3494215055,40238.65,34920.0,34584.0,36689.0,39851.0,39531.25,40238.66,4536679.12,4507895.43,4588752.45,4550962.52,4619534.08,4590442.75,4697289.67
Kota Batu,  70.00 ,  72.40 ,  78.40 ,  84.00 ,  82.10 ,  98.40 ,  115.10 ,8.75,9.05,9.8,10.5,10.26,12.3,14.39,6.56,6.5,6.51,-6.46,4.04,6.18,6.19,601888,636350,561428,598322,621753,672455,722176,203997,205788,207490,213046,214653,216735,218802,2235.4,2455.800002,2602.699998,2587.800003,2697.200002,3224.099996,3918.299999,0.8622140926,-0.4242034708,-1.070981747,0.7397494135,1.098871719,1.288689539,-0.3944977014,0.3337927753,0.3362125682,0.332294183,0.3474125849,0.3421616015,0.3641229361,0.339881894,727.28,871.0,792.0,750.0,825.0,1059.45,727.29,1469635.08,1500095.3,1530991.56,1557560.29,1576082.18,1630701.04,1699552.13
Kota Blitar,  37.30 ,  38.60 ,  41.30 ,  42.60 ,  44.50 ,  47.10 ,  61.50 ,5.33,5.51,5.9,6.09,6.36,6.73,8.79,5.78,5.82,5.84,-2.28,4.28,5.22,5.29,530602,634033,575053,597780,665838,636690,705624,139995,140971,141876,149149,150371,151960,153541,1063.400003,1113.700001,1176.900001,1246.900006,1335.500004,1463.100002,1771.700002,0.9738652999,-0.5397510739,-1.309209056,0.8712440963,1.098871719,1.243900531,-0.1189960675,0.3477930836,0.3566768513,0.3528765472,0.3593360313,0.3511310439,0.3619678761,0.341488235,786.56,760.0,912.0,771.0,885.0,728.19,786.57,118736.39,119172.75,120752.56,120956.29,123132.14,114545.71,116310.66
Kota Kediri,  37.40 ,  40.00 ,  42.70 ,  42.10 ,  45.10 ,  45.00 ,  52.20 ,9.35,10.0,10.67,10.53,11.27,11.25,13.05,5.14,5.43,5.47,-6.25,2.5,3.96,1.92,515417,507769,512133,561467,639163,706619,685402,284002,285582,287409,286796,287962,289418,290836,2150.600014,2290.5,2417.900004,2372.100005,2472.7,2642.199998,3117.400004,0.9221238175,-0.4573096978,-0.3211273159,0.9436720904,1.11989613,1.328704546,-0.1663418625,0.3619155519,0.3602743288,0.3576558759,0.3902052715,0.3825758718,0.386458337,0.348168876,1519.68,1582.0,1396.0,1686.0,1735.0,1864.13,1519.69,189831.16,192926.28,191896.87,197455.24,197623.43,197004.5,197886.88
Kota Madiun,  39.30 ,  44.20 ,  52.20 ,  54.40 ,  42.60 ,  63.90 ,  80.20 ,9.82,11.05,13.05,13.6,10.65,15.97,20.05,5.93,5.96,5.69,-5.34,4.79,5.52,5.8,584040,650775,604752,655444,695312,796091,845296,176099,176697,177007,195175,196917,199192,201460,1500.799999,1778.300001,2024.499998,2121.000003,1670.199997,2432.299997,3156.9,0.8032075127,-0.7429860772,-0.4477348337,0.9589398971,1.103352687,1.427713244,-0.01727971062,0.3393805039,0.3189680355,0.3258636439,0.3482266951,0.3337806451,0.3346548984,0.3111627284,2204.47,1362.0,1302.0,2314.0,2229.0,2194.58,2204.48,75018.38,76353.37,75634.04,84384.46,78257.97,73823.11,77361.2
Kota Malang,  175.00 ,  188.90 ,  200.50 ,  198.00 ,  206.80 ,  213.50 ,  242.10 ,12.5,13.49,14.32,14.14,14.77,15.25,17.29,5.69,5.72,5.73,-2.26,4.21,6.32,6.07,632530,597020,616123,645868,667895,715370,742935,861414,866118,870682,843810,844933,846126,847182,6527.10001,7324.499988,7616.799998,7537.600005,7849.399998,8244.500021,9433.700003,0.6339913963,-0.9588750907,-1.419881713,0.6936256814,1.102159329,1.421179969,-0.8013614396,0.3140782644,0.303047517,0.3004335928,0.3164311326,0.3179671966,0.3174518865,0.2874576517,1632.87,1857.0,2019.0,1739.0,1791.0,1718.11,1632.88,107471.3,108736.77,117372.1,116828.9,118576.78,119729.4,120647.49
Kota Mojokerto,  111.90 ,  119.80 ,  135.00 ,  131.70 ,  114.40 ,  144.20 ,  155.60 ,18.65,19.97,22.5,21.95,19.07,24.03,25.93,5.65,5.8,5.65,-3.69,3.65,5.56,2.79,561386,559204,584247,612720,667979,736250,723505,127279,128282,129014,132434,133272,134350,135414,1294.399998,1394.200006,1525.600002,1545.800003,1410.800003,1636.799998,1821.700003,1.098871719,-0.109478559,-0.3533126494,0.862467652,0.9738652999,1.243900531,-0.03641229303,0.3211117552,0.3110553785,0.2997644728,0.2938410716,0.2946500294,0.3060056365,0.30279412,620.47,730.0,701.0,733.0,754.0,833.03,620.48,25355.67,25551.2,25158.61,27210.43,26554.3,25734.92,23918.9
Kota Pasuruan,  54.20 ,  54.20 ,  58.60 ,  58.30 ,  57.80 ,  61.50 ,  68.30 ,10.84,10.84,11.72,11.66,11.56,12.3,13.66,5.47,5.54,5.56,-4.33,3.64,6.22,5.65,577070,590783,584937,636369,664357,758149,746400,197696,199078,200422,208006,209528,211497,213450,1591.400007,1657.400001,1775.299997,1735.800001,1711.1,1879.799999,2147.999995,0.9594220995,-0.2699088069,-0.9754491297,0.9366460004,1.089107672,1.243900531,-0.7019497896,0.296150855,0.2940285902,0.2903928236,0.3027232838,0.3103414188,0.3098636779,0.301167982,1374.69,1819.0,2055.0,1649.0,1554.0,1393.98,1374.7,116959.04,116935.1,115789.87,128580.21,124491.0,129413.4,132518.6
Kota Probolinggo,  90.20 ,  91.70 ,  99.70 ,  98.60 ,  98.90 ,  110.00 ,  109.70 ,15.03,15.28,16.62,16.43,16.48,18.33,18.28,5.88,5.93,5.94,-3.64,4.06,6.12,6.04,499067,508153,507171,513885,559266,562485,576394,233123,235211,237208,239649,241202,243200,245174,2243.200005,2392.300004,2596.899999,2544.0,2548.299997,2834.800006,2991.200005,0.8202151042,-0.2205749897,-0.811664036,0.9738652999,1.098871719,1.243900531,-0.3342408893,0.3450479491,0.3489469551,0.34774677,0.3552617736,0.3456243219,0.3569813196,0.3493118845,1309.43,1165.0,1402.0,1450.0,1531.0,1323.99,1309.44,455966.89,451980.7,455265.0,450751.2,430044.4,463835.3,494076.1
Kota Surabaya,"  1,385.50 ","  1,373.20 ","  1,436.50 ","  1,414.20 ","  1,396.80 ","  1,372.80 ","  1,454.90 ",39.59,39.23,41.04,40.41,39.91,39.22,41.57,6.13,6.19,6.09,-4.85,4.29,6.51,5.7,758750,776985,742013,777724,810743,819124,948701,2874699,2885555,2896195,2874314,2880284,2887223,2893698,44600.20006,45045.79997,46722.99997,47316.60005,47224.99999,47609.90004,50944.59998,1.060790597,-0.1610437604,-0.7396034164,0.9001965569,0.8639838135,1.206422125,-0.2052866815,0.2342561241,0.2029732719,0.2053188191,0.2214946704,0.2280188291,0.2548598795,0.2185038424,1506.0,2687.0,1724.0,1866.0,1736.0,1447.98,1506.01,589909.43,581426.57,576221.53,547994.9,554054.69,573236.82,576177.55
